Data;Salário mínimo real - R$ - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12;
2004.11;557,993612686075;
2004.12;553,235156634244;
2005.01;550,10027443103;
2005.02;547,689670435797;
2005.03;543,720777871878;
2005.04;538,817428207219;
2005.05;617,391201792664;
2005.06;618,071549450982;
2005.07;617,886735440618;
2005.08;617,886735440618;
2005.09;616,961897017054;
2005.10;613,405045640431;
2005.11;610,11169169208;
2005.12;607,680074293343;
2006.01;605,379755374551;
2006.02;603,989785165414;
2006.03;602,36349130855;
2006.04;701,914729780982;
2006.05;701,004331058125;
2006.06;701,495491701284;
2006.07;700,725507893771;
2006.08;700,864891745084;
2006.09;699,746026168853;
2006.10;696,749745212272;
2006.11;693,836814759835;
2006.12;689,562108353249;
2007.01;686,199612744235;
2007.02;683,330722639933;
2007.03;680,336640575104;
2007.04;736,736244852004;
2007.05;734,825754497433;
2007.06;732,555376746002;
2007.07;730,218561181714;
2007.08;725,93624669282;
2007.09;724,126096610971;
2007.10;721,960556591927;
2007.11;718,868888656001;
2007.12;711,963293164354;
2008.01;707,084110887175;
2008.02;703,707288427591;
2008.03;764,621977101466;
2008.04;759,760545007537;
2008.05;752,536285098689;
2008.06;745,750069512861;
2008.07;741,448688238687;
2008.08;739,895680782513;
2008.09;738,788572322467;
2008.10;735,113728648385;
2008.11;732,330887136736;
2008.12;730,213975281586;
2009.01;725,570495800144;
2009.02;810,476655024422;
2009.03;808,858093200064;
2009.04;804,434218222796;
2009.05;799,635333344283;
2009.06;796,292325961013;
2009.07;794,465299808091;
2009.08;793,83053799068;
2009.09;792,561471940403;
2009.10;790,664178595442;
2009.11;787,749799357945;
2009.12;785,862760290557;
2010.01;854,394769518299;
2010.02;848,456475658085;
2010.03;842,475189099297;
2010.04;836,370602424736;
2010.05;832,78857581344;
2010.06;833,70658589139;
2010.07;834,290169559321;
2010.08;834,874570801358;
2010.09;830,390004634396;
2010.10;822,819762872649;
2010.11;814,431147405959;
2010.12;809,573346756586;
2011.01;849,212439466948;
2011.02;844,650137148389;
2011.03;846,881172395164;
2011.04;840,826120144175;
2011.05;836,060725055166;
2011.06;834,224781721317;
2011.07;834,224781721317;
2011.08;830,736598433451;
2011.09;827,013676313714;
2011.10;824,375491215904;
2011.11;819,704728029145;
2011.12;815,545598252851;
2012.01;926,046943923825;
2012.02;922,45013060156;
2012.03;920,793660938247;
2012.04;914,935869012394;
2012.05;909,932125710517;
2012.06;907,575925322006;
2012.07;903,689300879798;
2012.08;899,641898593931;
2012.09;894,007588986634;
2012.10;887,707075030603;
2012.11;882,938494161799;
2012.12;876,452642884252;
2013.01;946,652018403681;
2013.02;941,75391840796;
2013.03;936,137713116138;
2013.04;930,64665825845;
2013.05;927,40028428985;
2013.06;924,809807702329;
2013.07;926,013833192879;
2013.08;924,535178981698;
2013.09;922,044491090611;
2013.10;916,454308134446;
2013.11;911,532752908544;
2013.12;905,015396227185;
2014.01;960,36900092235;
2014.02;954,26105697812;
2014.03;946,499272027111;
2014.04;939,174486432908;
2014.05;933,573738025622;
2014.06;931,151653330123;
2014.07;929,943036049034;
2014.08;928,271238580421;
2014.09;923,74628677277;
2014.10;920,249567195744;
2014.11;915,39751516791;
2014.12;909,757018139746;
2015.01;975,738161243625;
2015.02;964,547273709341;
2015.03;950,201019980374;
2015.04;943,502790433844;
2015.05;934,252323134867;
2015.06;927,115288490929;
2015.07;921,768263551999;
2015.08;919,469164311379;
2015.09;914,803754069422;
2015.10;907,813818783616;
2015.11;897,847309768414;
2015.12;889,838684139567;
2016.01;978,946352866174;
2016.02;969,73482512183;
2016.03;965,48506086315;
2016.04;959,346590613279;
2016.05;950,035945926438;
2016.06;945,591677716791;
2016.07;939,578210535762;
2016.08;936,674338975055;
2016.09;935,92645340864;
2016.10;934,337602070412;
2016.11;933,684268130291;
2016.12;932,378450366136;
2017.01;988,619200125768;
2017.02;986,251733206794;
2017.03;983,104811037889;
2017.04;982,319248600639;
2017.05;978,794814949325;
2017.06;981,739251045774;
2017.07;980,073853248588;
2017.08;980,367682065201;
2017.09;980,563665841045;
2017.10;976,948657584449;
2017.11;975,192813290284;
2017.12;972,663421192484;
2018.01;988,037724650412;
2018.02;986,262089177308;
2018.03;985,573070516818;
2018.04;983,507904998227;
2018.05;979,297800036473;
2018.06;965,492153773284;
2018.07;963,084698041454;
2018.08;963,084698041454;
2018.09;960,20342854506;
2018.10;956,378678779893;
2018.11;958,774771108069;
2018.12;957,434786276284;
2019.01;998;
